Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
3M Company,Industrials,Specialty Industrial Machinery,USA,DJIA S&P500,18.75,8.52,0.10%,576.80M,0.01%,92.33B,17.78,9.86%,-10.61%,574.05M,5.01%,4.97B,7.83,1.80,68.10%,1.13%,8.73%,32.35B,2.85,-14.90%,0.27%,1.92,-10.28%,17.59,9.09,11.50%,157.47,-10.27%,7.75,20.62,2.40%,48.50%,114.04 - 187.72,-9.40%,5.88,40.82,0.90%,16.30%,-14.85%,0.99,3.68%,1.20,0.20%,47.60%,40.16%,3.19,96163,1.70,2.70%,20.50%,55.53,1.55% 1.82%,Yes,2.22,46.80%,15.40%,0.75,159.29,Yes,1.90,Jul 28 BMO,67.20%,3.36M,159.84,3.20,2.19%,2.83%,0.84%,"2,514,819",0.35%,2020-07-25 16:25:46.619279
Abbott Laboratories,Healthcare,Medical Devices,USA,S&P 500,57.23,1.73,0.70%,1.77B,-0.30%,170.00B,25.66,20.95%,-6.37%,1.76B,13.34%,3.08B,5.41,0.87,76.30%,0.62%,5.20%,31.44B,5.41,45.20%,0.08%,1.70,9.46%,17.08,5.79,5.40%,101.93,12.44%,2.13,46.35,10.57%,11.80%,61.61 - 101.98,13.92%,1.44,76.30,12.40%,8.20%,-2.97%,0.96,1.46%,1.00,9.50%,57.70%,60.61%,2.39,107000,1.40,2.50%,14.20%,62.70,2.04% 2.38%,Yes,0.60,-8.60%,11.70%,0.71,100.82,Yes,0.56,Jul 16 BMO,61.40%,6.41M,98.95,1.90,4.93%,7.45%,14.07%,"4,529,826",-1.85%,2020-07-25 16:25:46.619279
AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,S&P 500,17.18,5.65,0.10%,1.48B,-3.69%,169.60B,8.18,14.80%,-4.86%,1.47B,2.07%,8.39B,1.44,2.21,63.60%,1.10%,16.17%,34.06B,4.98,42.30%,1.12%,1.68,16.24%,-5.01,-,11.30%,104.44,45.68%,-,-,11.93%,-103.70%,62.55 - 101.28,9.68%,4.72,24.19,36.80%,21.20%,-4.12%,0.82,4.86%,3.00,10.80%,77.10%,55.25%,2.04,30000,3.10,10.10%,39.90%,49.59,1.88% 2.16%,Yes,-,22.50%,24.60%,0.53,98.03,Yes,-,Jul 31 BMO,77.50%,9.65M,97.11,1.90,-1.35%,2.00%,11.92%,"5,134,155",-0.94%,2020-07-25 16:25:46.619279
"Abiomed, Inc.",Healthcare,Medical Devices,USA,S&P 500,66.16,4.43,1.40%,45.04M,2.95%,12.66B,60.65,42.94%,-4.87%,43.95M,21.22%,203.00M,2.76,0.29,98.30%,5.59%,73.83%,840.90M,15.06,-21.00%,0.28%,4.70,60.09%,23.66,12.38,17.40%,214.40,7.62%,10.25,28.57,24.00%,19.80%,119.01 - 301.11,71.72%,-,46.74,10.80%,17.90%,-2.71%,0.94,-,4.10,29.60%,82.00%,146.15%,8.69,1536,4.80,-0.20%,29.10%,73.77,2.86% 3.36%,Yes,0.00,-56.30%,24.10%,0.35,294.57,Yes,0.00,Aug 06 BMO,0.00%,522.83K,292.94,2.30,9.45%,20.42%,52.72%,"183,386",-0.55%,2020-07-25 16:25:46.619279
Accenture plc,Technology,Information Technology Services,Ireland,S&P 500,28.84,7.68,0.10%,636.15M,-0.23%,145.10B,27.41,5.79%,-9.81%,635.09M,9.71%,4.95B,3.86,1.73,73.90%,1.05%,26.21%,44.55B,3.26,11.30%,0.20%,3.06,6.17%,25.17,8.80,15.10%,224.88,13.58%,9.84,22.51,7.48%,32.40%,137.15 - 225.74,5.16%,3.20,29.04,10.30%,33.90%,-1.90%,1.04,1.45%,1.40,6.30%,31.40%,61.46%,4.41,492000,1.40,-1.00%,14.70%,59.53,1.51% 1.83%,Yes,0.00,-1.20%,11.10%,0.70,222.30,Yes,0.00,Jun 25 BMO,49.60%,2.19M,221.44,2.20,1.38%,6.90%,13.83%,"1,542,272",-0.39%,2020-07-25 16:25:46.619279
"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,S&P 500,39.58,2.02,0.70%,769.00M,1.72%,62.20B,26.42,9.47%,-9.77%,761.27M,5.83%,1.56B,1.87,0.67,91.90%,1.52%,20.02%,6.45B,9.64,-0.30%,0.25%,1.51,34.66%,16.93,4.72,8.40%,80.59,69.51%,7.69,10.40,21.17%,12.50%,44.91 - 82.67,34.62%,0.41,44.05,10.80%,9.50%,-3.24%,0.60,0.51%,-,8.00%,68.40%,78.11%,2.26,9200,2.80,-2.00%,25.60%,58.04,2.98% 2.87%,Yes,0.21,12.40%,24.20%,0.57,79.61,Yes,0.21,Aug 04 AMC,18.20%,7.66M,79.99,1.90,1.55%,6.35%,26.77%,"4,356,959",0.48%,2020-07-25 16:25:46.619279
Adobe Inc.,Technology,Software - Infrastructure,USA,S&P 500,56.69,7.59,0.10%,481.00M,-0.49%,203.48B,38.71,13.80%,-26.53%,477.55M,-0.32%,3.70B,3.78,2.41,88.00%,1.02%,25.05%,12.05B,16.89,7.80%,-0.21%,1.63,22.47%,22.62,19.02,17.70%,424.65,39.38%,9.20,46.77,15.00%,35.10%,255.13 - 470.61,30.47%,-,45.89,62.70%,20.60%,-8.56%,0.91,-,1.30,21.90%,85.60%,68.66%,13.51,22634,1.30,14.00%,31.40%,49.39,3.54% 3.04%,Yes,0.38,76.60%,30.70%,0.63,431.74,Yes,0.38,Jun 11 AMC,0.00%,2.99M,430.31,2.00,-2.61%,4.16%,24.49%,"1,892,174",-0.33%,2020-07-25 16:25:46.619279
"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,S&P 500,170.52,0.41,0.60%,1.17B,26.09%,81.10B,45.48,48.30%,-17.81%,1.16B,32.47%,474.00M,5.25,0.16,76.90%,4.18%,23.53%,7.25B,11.19,-11.00%,0.16%,0.84,37.84%,2.60,26.69,8.80%,54.40,106.12%,1.19,58.56,32.50%,19.60%,27.43 - 62.33,51.33%,-,188.18,20.70%,12.40%,11.34%,2.13,-,1.70,4.10%,43.70%,153.01%,3.00,11400,2.20,40.40%,8.30%,75.46,6.63% 4.63%,Yes,0.00,804.60%,6.70%,3.55,59.57,Yes,0.16,Jul 28 AMC,0.00%,57.65M,69.40,2.40,27.09%,27.92%,47.25%,"204,851,173",16.50%,2020-07-25 16:25:46.619279
"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,S&P 500,26.84,5.49,0.40%,69.18M,1.66%,10.21B,17.42,30.49%,2.39%,68.85M,2.99%,388.00M,3.63,1.80,-,3.52%,25.24%,9.45B,1.08,21.10%,0.54%,2.59,3.95%,51.13,2.88,3.40%,146.85,-1.84%,18.46,7.98,7.40%,10.90%,71.33 - 171.43,-8.05%,1.00,29.06,0.40%,12.30%,-14.09%,1.31,0.68%,0.40,-0.30%,43.70%,106.47%,4.25,39000,1.40,-8.60%,5.80%,58.17,2.13% 2.85%,Yes,0.49,-68.20%,4.10%,0.80,148.37,Yes,0.35,May 19 BMO,8.90%,938.03K,147.27,2.30,4.08%,5.22%,6.15%,"754,651",-0.74%,2020-07-25 16:25:46.619279
The AES Corporation,Utilities,Utilities - Diversified,USA,S&P 500,35.24,0.44,0.30%,664.00M,-1.47%,9.75B,10.01,11.37%,124.40%,662.47M,11.27%,292.00M,4.79,0.26,95.50%,1.89%,19.75%,9.88B,0.99,-70.60%,-0.30%,1.88,-24.44%,3.82,4.03,0.90%,17.07,-8.93%,2.96,5.21,7.35%,9.90%,8.11 - 21.23,-22.61%,0.57,-,-14.20%,6.60%,-27.46%,0.97,3.70%,1.00,-8.80%,23.00%,89.89%,0.55,21000,1.10,-11.80%,18.70%,60.97,3.38% 3.47%,Yes,8.31,-6.60%,3.00%,0.63,15.68,Yes,7.43,Aug 06 BMO,125.10%,6.66M,15.40,1.90,4.90%,12.27%,-4.99%,"4,214,938",-1.79%,2020-07-25 16:25:46.619279
